station_id,num_bikes_available,num_docks_available,is_installed,is_returning,is_renting,time,stationCode,mechanical_bike_available,electrical_bike_available,station_name,latitude,longitude,capacity,credit_card
54000565,14,12,True,True,True,2024-12-07 05:27:04,10115,10,4,Granges aux Belles,48.8761373390584,2.3680844979417,27,
210586093,12,11,True,True,True,2024-12-07 05:23:25,10029,5,7,Dunkerque - Rocroy,48.880726,2.351464,24,
369644630,10,21,True,True,True,2024-12-07 05:27:51,10161,7,3,Gare de l'Est - Faubourg-Saint-Martin,48.875642647477,2.3594588041306,32,True
214114469,24,6,True,True,True,2024-12-07 05:25:10,41303,13,11,Gare de Nogent-le-Perreux,48.83842553348809,2.493693307042122,32,True
55927887,20,16,True,True,True,2024-12-07 05:27:11,12031,19,1,Gabriel Lamé,48.8351212784276,2.385534569621086,36,True
72765603,2,17,True,True,True,2024-12-07 05:22:55,5022,0,2,Boulangers - Cardinal Lemoine,48.8462904,2.3521495,20,True
16659953198,12,17,True,True,True,2024-12-07 05:27:20,21328,1,11,Verger - Colonel Guichard,48.816376985087,2.2670380088932,29,True
17486828694,21,8,True,True,True,2024-12-07 05:27:25,21323,13,8,Charlot - Stade Gabriel Voisin,48.827228120536,2.268122527474,31,True
35196898,22,3,True,True,True,2024-12-07 05:27:57,13104,20,2,Gare d'Austerlitz - Quai Saint-Bernard,48.84369030864,2.3657163977623,27,True
43255030,3,45,True,True,True,2024-12-07 05:24:01,17040,3,0,Pereire - Ternes,48.87973954830735,2.288012132048607,48,True
129025451,1,25,True,True,True,2024-12-07 05:27:57,9038,0,1,Douai - Bruxelles,48.88320784122797,2.3308449949028507,27,
102317064,0,40,True,False,False,2024-12-07 05:24:18,18203,0,0,Lamarck - Saint-Ouen,48.891334555236,2.3272445342326,40,True
128920403,4,21,True,True,True,2024-12-07 05:27:48,8009,4,0,Gare Saint-Lazare - Isly,48.874777677621296,2.326515804784655,27,True
1062192012,19,17,True,True,True,2024-12-07 05:25:46,31103,4,15,Gare Rosny-Bois-Perrier,48.88115023337061,2.480436824262142,36,True
521393180,18,5,True,True,True,2024-12-07 05:27:09,17008,10,8,Porte Pouchet-Bessières,48.8978765,2.3230632,23,
128887067,16,1,True,True,True,2024-12-07 05:20:38,7018,10,6,Ségur - d'Estrées,48.851419978983,2.3097044974566,19,
323616530,0,17,True,False,False,2024-12-07 05:26:44,1001,0,0,Quai de l'Horloge - Pont Neuf,48.857058739111,2.3417982839439,17,True
7254,0,23,True,True,True,2024-12-07 05:23:36,5005,0,0,Gay Lussac - Saint-Jacques,48.844730256132,2.3419239448664,24,
128989986,0,27,True,True,True,2024-12-07 05:18:23,8053,0,0,Place Georges Guillaumin,48.874750203957,2.301771435326,29,
